Dates,USDZARV1M,USDZARV3M,USDZARV1Y,USDZARPX_LAST,USDZARPX_BID,USDZARPX_ASK
2018-10-31,18.4775,18.22,18.835,14.7864,14.7603,14.8125
2018-11-01,18.035,18.2075,18.825,14.4077,14.3915,14.4239
2018-11-02,17.765,17.92,18.7175,14.299,14.2477,14.3504
2018-11-05,18.14,17.8575,18.645,14.1558,14.1325,14.1791
2018-11-06,18.2375,17.9475,18.625,14.1112,14.0947,14.1278
2018-11-07,17.2875,17.3575,18.19,13.9051,13.8886,13.9215
2018-11-08,17.3825,17.325,18.205,14.1355,14.121,14.15
2018-11-09,17.7,17.565,18.3675,14.3582,14.2188,14.4975
2018-11-12,18.1775,17.8375,18.53,14.4794,14.4552,14.5035
2018-11-13,18.2775,17.86,18.5375,14.4569,14.444,14.4699
2018-11-14,17.7075,17.5175,18.3625,14.3948,14.3733,14.4164
2018-11-15,17.39,17.6975,18.475,14.1768,14.1514,14.2022
2018-11-16,17.43,17.49,18.345,13.993,13.9338,14.0523
2018-11-19,17.5775,17.4025,18.165,14.026,14.0068,14.0451
2018-11-20,17.7775,17.4325,18.215,14.0941,14.0771,14.111
2018-11-21,17.835,17.38,18.2625,13.9053,13.8655,13.9452
2018-11-22,17.7625,17.2925,18.205,13.752,13.7148,13.7892
2018-11-23,17.355,17.045,18.16,13.8608,13.8213,13.9002
2018-11-26,16.9025,16.98,18.115,13.9082,13.8893,13.927
2018-11-27,16.6325,16.86,18.0975,13.9282,13.898,13.9585
2018-11-28,16.5525,16.735,18.085,13.7733,13.7571,13.7894
2018-11-29,15.5975,16.465,17.79,13.6684,13.6507,13.6862
2018-11-30,15.385,16.5275,17.7825,13.8699,13.833,13.9068
2018-12-03,15.4175,16.3425,17.5075,13.6914,13.6791,13.7037
2018-12-04,15.115,16.055,17.395,13.8532,13.8211,13.8854
2018-12-05,15.9975,16.735,17.735,13.8473,13.8193,13.8753
2018-12-06,17.2,17.755,18.13,14.0484,14.0305,14.0663
2018-12-07,17.17,17.51,18.035,14.1643,14.1189,14.2097
2018-12-10,18.45,18.34,18.305,14.385,14.3712,14.3988
2018-12-11,18.33,18.2275,18.53,14.3438,14.321,14.3666
2018-12-12,17.9125,18.0375,18.475,14.1139,14.0875,14.1404
2018-12-13,17.2575,17.6275,18.29,14.1813,14.1533,14.2092
2018-12-14,17.355,17.6975,18.275,14.398,14.3484,14.4475
2018-12-17,17.15,17.6325,18.21,14.3957,14.3679,14.4235
2018-12-18,16.9425,17.3225,18.155,14.3512,14.3307,14.3717
2018-12-19,16.4125,17.21,18.2,14.3895,14.3636,14.4155
2018-12-20,16.6975,17.53,18.315,14.4144,14.3786,14.4502
2018-12-21,17.25,17.6825,18.37,14.643,14.5912,14.6949
2018-12-24,17.7775,17.93,18.445,14.5835,14.4948,14.6723
2018-12-25,17.7975,17.9475,18.425,14.6038,14.4825,14.725
2018-12-26,17.88,18.0225,18.475,14.57,14.5447,14.5954
2018-12-27,17.6075,18.055,18.5075,14.4942,14.4597,14.5287
2018-12-28,17.73,18.08,18.405,14.4331,14.4155,14.4506
2018-12-31,18.105,18.125,18.545,14.3467,14.2205,14.4728
2019-01-01,18.145,18.11,18.4625,14.3947,14.2205,14.4728
2019-01-02,18.2575,18.18,18.47,14.4613,14.4417,14.4809
2019-01-03,18.21,18.3325,18.5225,14.2983,14.2726,14.3239
2019-01-04,17.905,18.05,18.3425,13.9649,13.9433,13.9865
2019-01-07,17.6325,17.8025,18.215,13.8773,13.8571,13.8976
2019-01-08,17.5225,17.6575,18.2425,13.9565,13.93,13.983
2019-01-09,17.4225,17.6375,18.305,13.8592,13.8444,13.874
2019-01-10,16.7175,17.35,18.1725,13.8539,13.8372,13.8706
2019-01-11,16.3325,17.0975,18.02,13.8405,13.8127,13.8683
2019-01-14,16.7525,17.15,18.0,13.7762,13.76,13.7925
2019-01-15,16.2575,16.735,17.8125,13.738,13.7247,13.7514
2019-01-16,15.5875,16.2275,17.575,13.6923,13.6805,13.7041
2019-01-17,15.245,16.1625,17.1225,13.7219,13.712,13.7318
2019-01-18,15.0625,15.99,17.1575,13.8479,13.8211,13.8747
2019-01-21,15.355,15.955,17.06,13.8277,13.817,13.8384
2019-01-22,14.94,15.5125,16.84,13.9732,13.9559,13.9905
2019-01-23,14.63,15.3625,16.805,13.8163,13.805,13.8277
2019-01-24,14.2075,15.165,16.545,13.722,13.7085,13.7355
2019-01-25,13.9725,15.105,16.465,13.6192,13.6015,13.6368
2019-01-28,14.2375,15.225,16.44,13.6653,13.6475,13.683
2019-01-29,14.2,15.2625,16.47,13.6001,13.5879,13.6123
2019-01-30,13.9625,14.985,16.525,13.33,13.31,13.35
2019-01-31,13.79,14.5825,15.795,13.2542,13.2398,13.2685
2019-02-01,13.925,14.5175,15.7425,13.3249,13.3002,13.3495
2019-02-04,13.78,14.6675,15.835,13.4212,13.4096,13.4328
2019-02-05,13.895,14.86,15.785,13.3749,13.3613,13.3885
2019-02-06,14.525,14.9575,16.0275,13.5405,13.521,13.56
2019-02-07,15.0675,15.55,16.2,13.6287,13.6135,13.644
2019-02-08,14.905,16.0475,16.305,13.6245,13.5366,13.7124
2019-02-11,15.165,16.2675,16.3075,13.8112,13.8016,13.8208
2019-02-12,15.375,16.53,16.38,13.7686,13.755,13.7822
2019-02-13,16.435,16.9725,16.6175,14.0644,14.0503,14.0786
2019-02-14,17.905,17.8975,17.06,14.1304,14.116,14.1447
2019-02-15,17.7025,17.7,16.92,14.0811,14.0292,14.1329
2019-02-18,17.205,17.64,16.945,14.1156,14.0936,14.1375
2019-02-19,17.0475,17.6325,16.92,14.0449,14.0334,14.0564
2019-02-20,15.775,16.945,16.785,14.0124,13.975,14.0499
2019-02-21,15.7925,16.9975,16.77,14.0244,14.0075,14.0414
2019-02-22,15.235,16.7625,16.62,14.0001,13.9844,14.0159
2019-02-25,14.415,16.49,16.45,13.8236,13.8106,13.8365
2019-02-26,14.055,15.91,16.2,13.8338,13.8208,13.8468
2019-02-27,14.195,15.945,16.15,13.9358,13.9258,13.9458
2019-02-28,15.195,16.045,16.195,14.0849,14.0758,14.0939
2019-03-01,15.25,15.93,16.245,14.2295,14.2157,14.2433
2019-03-04,15.69,16.05,16.28,14.2301,14.2029,14.2572
2019-03-05,15.28,16.025,16.195,14.1669,14.1551,14.1787
2019-03-06,15.29,15.8775,16.185,14.2678,14.2549,14.2808
2019-03-07,16.24,16.7075,16.445,14.5036,14.4775,14.5298
2019-03-08,15.985,16.5625,16.655,14.4391,14.4237,14.4544
2019-03-11,15.97,16.34,16.495,14.3393,14.3274,14.3512
2019-03-12,15.46,16.0425,16.32,14.3519,14.3426,14.3612
2019-03-13,15.17,15.9925,16.235,14.4227,14.4075,14.4378
2019-03-14,15.095,16.1275,16.385,14.5378,14.5293,14.5462
2019-03-15,14.755,15.7175,16.125,14.4013,14.3574,14.4452
2019-03-18,14.21,15.145,15.785,14.4494,14.4275,14.4713
2019-03-19,14.24,15.2225,15.76,14.5059,14.4923,14.5196
2019-03-20,13.99,15.13,15.69,14.2596,14.2491,14.27
2019-03-21,13.93,15.0425,15.495,14.2162,14.1983,14.2341
2019-03-22,15.555,16.085,16.195,14.4976,14.4751,14.52
2019-03-25,15.93,16.1025,16.165,14.3073,14.2871,14.3275
2019-03-26,15.6,16.0325,16.135,14.416,14.3986,14.4335
2019-03-27,16.855,16.815,16.74,14.5995,14.5787,14.6202
2019-03-28,16.4575,17.11,16.78,14.6077,14.5949,14.6206
2019-03-29,15.78,16.97,16.835,14.5012,14.4528,14.5496
2019-04-01,15.095,16.18,16.465,14.1595,14.1364,14.1825
2019-04-02,15.01,16.045,16.345,14.2045,14.1831,14.226
2019-04-03,14.65,15.915,16.3,14.1461,14.1351,14.1571
2019-04-04,14.155,15.8,16.175,14.1198,14.1006,14.1389
2019-04-05,13.8875,15.675,16.055,14.0931,14.0644,14.1219
2019-04-08,14.115,15.51,15.935,14.1108,14.0974,14.1243
2019-04-09,15.7025,15.0625,15.68,14.0903,14.0817,14.0989
2019-04-10,15.315,14.725,15.595,13.9148,13.8975,13.9321
2019-04-11,14.735,14.665,15.515,14.0068,13.9971,14.0165
2019-04-12,14.695,14.615,15.475,13.9667,13.9347,13.9987
2019-04-15,14.87,14.5,15.5,14.0464,14.0279,14.065
2019-04-16,14.735,14.47,15.47,14.0333,14.0234,14.0433
2019-04-17,14.045,14.335,15.3775,13.9886,13.9787,13.9985
2019-04-18,14.265,14.345,15.425,14.052,14.0335,14.0704
2019-04-19,14.31,14.36,15.42,14.0599,14.0133,14.1065
2019-04-22,14.885,14.54,15.465,14.1574,14.1387,14.1762
2019-04-23,15.005,14.4475,15.445,14.2566,14.2428,14.2705
2019-04-24,14.935,14.5775,15.56,14.4358,14.4121,14.4594
2019-04-25,15.15,15.1475,15.875,14.4186,14.4044,14.4329
2019-04-26,14.4,14.4775,15.54,14.3917,14.3608,14.4227
2019-04-29,14.415,14.5325,15.6,14.3177,14.3,14.3355
2019-04-30,14.1725,14.4275,15.575,14.2986,14.2835,14.3138
2019-05-01,14.245,14.4625,15.585,14.4558,14.4466,14.465
2019-05-02,14.595,14.88,15.75,14.5353,14.5205,14.5501
2019-05-03,14.195,14.5425,15.625,14.3515,14.3263,14.3767
2019-05-06,14.845,14.815,15.645,14.4671,14.4454,14.4888
2019-05-07,15.0525,14.88,15.685,14.4329,14.419,14.4468
2019-05-08,14.995,14.9425,15.75,14.3742,14.3585,14.3899
2019-05-09,14.7875,15.2075,15.915,14.3458,14.3268,14.3648
2019-05-10,14.4725,14.94,15.835,14.1597,14.1359,14.1836
2019-05-13,15.07,15.265,16.035,14.331,14.3152,14.3468
2019-05-14,14.655,15.065,15.9,14.243,14.2312,14.2548
2019-05-15,14.2025,14.87,15.745,14.2189,14.2101,14.2277
2019-05-16,13.65,14.7125,15.665,14.289,14.2817,14.2963
2019-05-17,13.8375,14.685,15.745,14.4298,14.3738,14.4857
2019-05-20,14.145,14.6325,15.72,14.3868,14.3748,14.3988
2019-05-21,14.13,14.72,15.745,14.3938,14.3725,14.415
2019-05-22,13.89,14.5475,15.72,14.3792,14.3666,14.3918
2019-05-23,14.305,14.86,15.975,14.4842,14.4634,14.505
2019-05-24,13.825,14.505,15.735,14.4119,14.3525,14.4713
2019-05-27,14.215,14.77,15.835,14.4281,14.4143,14.4419
2019-05-28,14.5,14.9775,16.145,14.7346,14.7244,14.7449
2019-05-29,14.8875,15.295,16.12,14.6529,14.6415,14.6642
2019-05-30,14.08,14.73,15.845,14.7313,14.7176,14.745
2019-05-31,14.2225,14.69,15.965,14.5803,14.5203,14.6404
2019-06-03,14.225,14.585,15.825,14.4516,14.4351,14.4682
2019-06-04,14.685,14.8225,16.04,14.6623,14.646,14.6786
2019-06-05,15.145,15.23,16.13,14.8778,14.8477,14.9079
2019-06-06,15.1175,15.4725,16.165,14.9949,14.9839,15.0059
2019-06-07,15.3075,15.525,16.32,14.9515,14.8857,15.0173
2019-06-10,15.105,15.2,15.945,14.8253,14.8145,14.8361
2019-06-11,14.9175,15.0,15.835,14.6675,14.6518,14.6832
2019-06-12,15.14,15.21,15.97,14.8717,14.8349,14.9086
2019-06-13,15.055,15.31,16.16,14.8675,14.8526,14.8824
2019-06-14,14.895,15.22,16.055,14.822,14.7787,14.8653
2019-06-17,14.84,15.095,15.985,14.8129,14.7959,14.83
2019-06-18,14.6025,14.885,15.92,14.5233,14.5031,14.5436
2019-06-19,14.51,15.1325,15.875,14.3222,14.312,14.3323
2019-06-20,14.56,15.185,15.91,14.3351,14.3022,14.368
