Dates,GBPUSDV1M,GBPUSDV3M,GBPUSDV1Y,GBPUSDPX_LAST,GBPUSDPX_BID,GBPUSDPX_ASK
2006-01-09 00:00:00,8.3513,8.3512,8.5011,1.7655,1.7653,1.7656
2006-01-10 00:00:00,8.275,8.3,8.475,1.7649,1.7649,1.7649
2006-01-11 00:00:00,8.325,8.3,8.425,1.7644,1.7643,1.7645
2006-01-12 00:00:00,8.275,8.35,8.425,1.7602,1.7599,1.7604
2006-01-13 00:00:00,8.2,8.25,8.375,1.777,1.777,1.777
2006-01-16 00:00:00,8.425,8.4,8.475,1.7685,1.7684,1.7686
2006-01-17 00:00:00,8.325,8.35,8.45,1.7678,1.7676,1.7679
2006-01-18 00:00:00,8.475,8.3,8.425,1.7638,1.7637,1.7639
2006-01-19 00:00:00,8.075,8.25,8.45,1.7597,1.7596,1.7597
2006-01-20 00:00:00,8.0,8.225,8.45,1.7708,1.7707,1.7709
2006-01-23 00:00:00,8.275,8.35,8.4,1.7875,1.7873,1.7876
2006-01-24 00:00:00,8.3,8.35,8.45,1.7848,1.7848,1.7848
2006-01-25 00:00:00,8.325,8.3,8.475,1.7839,1.7837,1.784
2006-01-26 00:00:00,8.25,8.325,8.425,1.7793,1.7792,1.7794
2006-01-27 00:00:00,8.25,8.325,8.425,1.7674,1.7672,1.7676
2006-01-30 00:00:00,8.2,8.325,8.475,1.7687,1.7685,1.7688
2006-01-31 00:00:00,8.35,8.35,8.4,1.7793,1.7792,1.7793
2006-02-01 00:00:00,8.375,8.275,8.4,1.7746,1.7746,1.7746
2006-02-02 00:00:00,8.35,8.35,8.35,1.7806,1.7806,1.7806
2006-02-03 00:00:00,8.375,8.35,8.425,1.763,1.763,1.763
2006-02-06 00:00:00,8.4,8.4,8.45,1.7477,1.7477,1.7477
2006-02-07 00:00:00,8.475,8.45,8.45,1.7447,1.7446,1.7448
2006-02-08 00:00:00,8.475,8.45,8.45,1.7417,1.7415,1.7418
2006-02-09 00:00:00,8.5,8.45,8.45,1.7414,1.7412,1.7415
2006-02-10 00:00:00,8.4,8.35,8.4,1.7443,1.7441,1.7444
2006-02-13 00:00:00,8.225,8.4,8.475,1.7409,1.7408,1.7409
2006-02-14 00:00:00,8.4,8.4,8.4,1.7363,1.7363,1.7364
2006-02-15 00:00:00,8.175,8.25,8.425,1.741,1.7408,1.7411
2006-02-16 00:00:00,8.275,8.25,8.425,1.7394,1.7392,1.7396
2006-02-17 00:00:00,8.125,8.2,8.425,1.7421,1.7421,1.7421
2006-02-20 00:00:00,8.0513,8.2512,8.4011,1.7437,1.7435,1.7439
2006-02-21 00:00:00,7.825,8.2,8.375,1.7458,1.7456,1.7459
2006-02-22 00:00:00,7.725,8.0,8.375,1.7439,1.7437,1.744
2006-02-23 00:00:00,7.675,8.05,8.375,1.7512,1.7511,1.7513
2006-02-24 00:00:00,7.575,7.9,8.375,1.7456,1.7454,1.7458
2006-02-27 00:00:00,7.7,7.95,8.3,1.7401,1.74,1.7402
2006-02-28 00:00:00,7.425,7.85,8.325,1.7536,1.7534,1.7537
2006-03-01 00:00:00,7.475,7.85,8.275,1.7501,1.7498,1.7503
2006-03-02 00:00:00,7.45,7.875,8.3,1.7534,1.7534,1.7536
2006-03-03 00:00:00,7.25,7.725,8.175,1.7557,1.7557,1.7557
2006-03-06 00:00:00,7.5,7.85,8.2,1.7505,1.7502,1.7507
2006-03-07 00:00:00,7.7,7.925,8.2,1.7359,1.7358,1.736
2006-03-08 00:00:00,7.7,8.025,8.2,1.7389,1.7387,1.7391
2006-03-09 00:00:00,7.475,7.8,8.225,1.7356,1.7355,1.7357
2006-03-10 00:00:00,7.4,7.75,8.2,1.726,1.726,1.726
2006-03-13 00:00:00,7.375,7.7,8.075,1.7329,1.7327,1.733
2006-03-14 00:00:00,7.375,7.65,8.175,1.7462,1.746,1.7463
2006-03-15 00:00:00,7.15,7.625,8.2,1.7481,1.7478,1.7483
2006-03-16 00:00:00,6.9,7.6,8.1,1.7574,1.7572,1.7575
2006-03-17 00:00:00,6.65,7.325,8.05,1.7565,1.7563,1.7566
2006-03-20 00:00:00,6.8,7.475,8.1,1.7562,1.7561,1.7564
2006-03-21 00:00:00,6.7,7.4,8.0,1.7478,1.7476,1.7479
2006-03-22 00:00:00,6.65,7.325,7.95,1.7473,1.7472,1.7474
2006-03-23 00:00:00,6.625,7.3,7.875,1.7349,1.7348,1.735
2006-03-24 00:00:00,6.65,7.275,7.9,1.7424,1.7422,1.7426
2006-03-27 00:00:00,6.825,7.3,7.975,1.7464,1.7464,1.7465
2006-03-28 00:00:00,6.875,7.35,7.875,1.743,1.7427,1.7432
2006-03-29 00:00:00,6.9,7.425,7.925,1.7345,1.7345,1.7345
2006-03-30 00:00:00,6.725,7.475,7.925,1.7459,1.7459,1.746
2006-03-31 00:00:00,6.875,7.45,7.95,1.7372,1.7371,1.7373
2006-04-03 00:00:00,7.05,7.5,7.95,1.7392,1.739,1.7394
2006-04-04 00:00:00,7.275,7.625,8.05,1.7552,1.755,1.7553
2006-04-05 00:00:00,7.425,7.65,8.1,1.7538,1.7537,1.7538
2006-04-06 00:00:00,7.375,7.675,8.05,1.7533,1.7531,1.7534
2006-04-07 00:00:00,6.975,7.6,8.0,1.7422,1.7422,1.7422
2006-04-10 00:00:00,6.975,7.475,7.95,1.7427,1.7426,1.7429
2006-04-11 00:00:00,6.975,7.4,8.0,1.7491,1.749,1.7492
2006-04-12 00:00:00,6.825,7.5,7.925,1.7493,1.7491,1.7494
2006-04-13 00:00:00,6.925,7.4,7.875,1.7526,1.7526,1.7526
